Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
Bill,00n02WZCSMJAMCLrgz80,bli02PPCGJMOSP1igrxl,5717395,expense,1
Bill,00n02PVCMZARHWJrgza9,bli02HIMIXNTUY1igsa8,5717396,expense,1
Bill,00n02ECCUUAAJJZrgzeo,bli02LLEBWPEIT1igssc,5717397,expense,1
Bill,00n02VOCZADTGPGrgzg7,bli02UGCIMGNVO1igt3p,5717398,expense,1
Bill,00n02CSNIEEZNIArgzhm,bli02JJNZCAYQQ1igtcg,5717399,expense,1
Bill,00n02NFXIVCGODGrh10u,bli02QNAUUKRJE1igxjf,5717400,expense,1
Bill,00n02LZILCTOUDMrhfe7,bli02TBUWHQABC1ihnu1,5717401,expense,1
Bill,00n02DKUKPWVUUGrhofx,bli02GRBXOAYDL1ii54y,5717402,expense,1
Bill,00n02QPYTPLUANKrjs3g,bli02UACUBHQVL1imgi8,5727669,expense,1
Bill,00n02VCZAJEIVKUrjsn0,bli02ZDEBAMYYR1imjei,5727670,expense,1
Bill,00n02WIBMAIHHPRrjsq7,bli02EUJCCFWXQ1imjoi,5727671,expense,1
Bill,00n02YOJEHNQIFHrjt3j,bli02JTPKNRFFX1imktj,5727672,expense,1
Bill,00n02UJCHAJQQVVrjt66,bli02TIAJXTNWW1iml0z,5727673,expense,1
Bill,00n02TEPGMHHJUNrjt6u,bli02BCVSQUZYW1iml3m,5727674,expense,1
Bill,00n02DEZQCYTJWQrjt96,bli02NRTUIPZYT1imlhs,5727675,expense,1
Bill,00n02WXMETDRPIVrjt9s,bli02QUYVSVMQA1imlif,5727676,expense,1
Bill,00n02KLALEFDHHErjtaf,bli02CWVJILDWD1imlnq,5727677,expense,1
Bill,00n02MFCZYGWDEOrjtq5,bli02QEIQTHXLU1immym,5727678,expense,1
Bill,00n02ZLKUCESWRErjtqi,bli02WDYSCIGLP1immzf,5727679,expense,1
Bill,00n02XPRKXCOFRErjtrg,bli02KCXMKJEKW1imn1n,5727680,expense,1
Bill,00n02UHPIEZTSAUrjts6,bli02LWFJXDGRM1imn2v,5727681,expense,1
Bill,00n02HYYTZSXBYErjtt0,bli02HPKYYYVYH1imn4w,5727682,expense,1
Bill,00n02MEWVXBIBGUrjtti,bli02EOGVBOLVR1imn67,5727683,expense,1
Bill,00n02GBANFAUZRMrjtu2,bli02WCMCLFCBL1imn7q,5727684,expense,1
Bill,00n02DEWRGTWYFFrjtvb,bli02WUCKPOPQH1imnan,5727685,expense,1
Bill,00n02APHXCMEZAQrjtz2,bli02MHOZIZVWU1imnls,5727686,expense,1
Bill,00n02EVPLOKCPLVrk71j,bli02JLUYLKKFI1incrd,5727687,expense,1
Bill,00n02ZJRNMLMVXTrk76k,bli02PAORRHKMT1ind8d,5727688,expense,1
Bill,00n02UWBXZNGZYUrk7j0,bli02EDVXJZBSO1indu6,5727689,expense,1
Bill,00n02EOKTVZSJRFrk7se,bli02SIAEHYCQX1ine92,5727690,expense,1
Bill,00n02FTHGYXSKJHrmy89,bli02EYZRQBLAA1itfhx,5752214,expense,1
Bill,00n02ZRMGRXCFQCrmy96,bli02HVQTHIXGV1itfqb,5752215,expense,1
Bill,00n02YWRFKERKSLrmy9u,bli02WPPWREDET1itfrs,5752216,expense,1
Bill,00n02SHJKGUJAIArmyd2,bli02QCVMUGLGF1itfzd,5752217,expense,1
Bill,00n02BVFCMWCNJYrmyej,bli02IJGELTUTK1itg28,5752218,expense,1
Bill,00n02ASHKZCTEJXrmyge,bli02RZOMUTTVQ1itg5e,5752219,expense,1
Bill,00n02FXHIJFCLDVrmyhc,bli02KARRBUJBI1itg7x,5752220,expense,1
Bill,00n02NIEXFICOLMrmype,bli02SHOHIVTSJ1itgtv,5752221,expense,1
Bill,00n02NIEXFICOLMrmype,bli02TDVFAABWS1itgtw,5752221,expense,2
Bill,00n02MKVUVOTMANrpsrz,bli02VRQSNDXXZ1iytjq,5768055,expense,1
Bill,00n02WXABSCHLPTrpu5s,bli02WXNUEEXVG1iyvqp,5768056,expense,1
Bill,00n02GDZFSLSXIKrs27n,bli02FNGRQYPDI1j3809,5784341,expense,1
Bill,00n02UELLQSHKENrs28a,bli02UZXUGXJSO1j384c,5784342,expense,1
Bill,00n02NOJPVICVVOrs2a6,bli02FJSCUNGOC1j38dq,5784343,expense,1
Bill,00n02NQRBTRYWITrs2dg,bli02QJHDJIYSG1j38ny,5784344,expense,1
Bill,00n02UIYTVXOCOPrt2ro,bli02QGHFVHZZW1j52kk,5784345,expense,1
PurchaseOrder,pur02VJQGKSFQLWPezhw,pol02TPQRTJPMIA308ct,3258201,item,1
PurchaseOrder,pur02GTAWNGWKFMOezhx,pol02VXSHQPJZZP308cu,1339491,item,1
PurchaseOrder,pur02GTAWNGWKFMOezhx,pol02GKTIUECAOH308cv,1339491,item,2
PurchaseOrder,pur02GTAWNGWKFMOezhx,pol02SFGGRSGCHD308cw,1339491,item,3
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02DBJZIQSHGE308cx,2221580,item,1
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02JLEALSDXBG308cy,2221580,item,2
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02BIFLIDTXHE308cz,2221580,item,14
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02NIIRTZHVII308d0,2221580,item,4
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02VDKICJOGUC308d1,2221580,item,5
PurchaseOrder,pur02OKZLRBFLXRVezhy,pol02UGPSVWZYHN308d2,2221580,item,6
